LinkText,URL
"Brazil","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Brazil"
"Chile","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Chile"
"Colombia","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Colombia"
"Costa Rica","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Costa_Rica"
"Cuba","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Cuba"
"Dominican Republic","https://en.wikipedia.org/wiki/History_of_the_Jews_in_the_Dominican_Republic"
"Ecuador","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Ecuador"
"El Salvador","https://en.wikipedia.org/wiki/History_of_the_Jews_in_El_Salvador"
"Guatemala","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Guatemala"
"Guyana","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Guyana"
"Haiti","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Haiti"
"Honduras","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Honduras"
"Jamaica","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Jamaica"
"Mexico","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Mexico"
"Nicaragua","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Nicaragua"
"Panama","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Panama"
"Paraguay","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Paraguay"
"Peru","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Peru"
"Puerto Rico","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Puerto_Rico"
"Suriname","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Suriname"
"Uruguay","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Uruguay"
"Venezuela","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Venezuela"
"Oceania","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Oceania"
"Australia","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Australia"
"Fiji","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Fiji"
"Guam","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Guam"
"New Zealand","https://en.wikipedia.org/wiki/History_of_the_Jews_in_New_Zealand"
"Palau","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Palau"
"Denominations","https://en.wikipedia.org/wiki/Jewish_religious_movements"
"Orthodox","https://en.wikipedia.org/wiki/Orthodox_Judaism"
"Modern","https://en.wikipedia.org/wiki/Modern_Orthodox_Judaism"
"Haredi","https://en.wikipedia.org/wiki/Haredi_Judaism"
"Hasidic","https://en.wikipedia.org/wiki/Hasidic_Judaism"
"Reform","https://en.wikipedia.org/wiki/Reform_Judaism"
"Conservative","https://en.wikipedia.org/wiki/Conservative_Judaism"
"Karaite","https://en.wikipedia.org/wiki/Karaite_Judaism"
"Reconstructionist","https://en.wikipedia.org/wiki/Reconstructionist_Judaism"
"Renewal","https://en.wikipedia.org/wiki/Jewish_Renewal"
"Science","https://en.wikipedia.org/wiki/Jewish_Science"
"Haymanot","https://en.wikipedia.org/wiki/Haymanot"
"Humanistic","https://en.wikipedia.org/wiki/Humanistic_Judaism"
"Culture","https://en.wikipedia.org/wiki/Jewish_culture"
"Minyan","https://en.wikipedia.org/wiki/Minyan"
"Wedding","https://en.wikipedia.org/wiki/Jewish_wedding"
"Clothing","https://en.wikipedia.org/wiki/Jewish_religious_clothing"
"Niddah","https://en.wikipedia.org/wiki/Niddah"
"Pidyon haben","https://en.wikipedia.org/wiki/Pidyon_haben"
"Kashrut","https://en.wikipedia.org/wiki/Kashrut"
"Shidduch","https://en.wikipedia.org/wiki/Shidduch"
"Zeved habat","https://en.wikipedia.org/wiki/Zeved_habat"
"Conversion to Judaism","https://en.wikipedia.org/wiki/Conversion_to_Judaism"
"Aliyah","https://en.wikipedia.org/wiki/Aliyah"
"Hiloni","https://en.wikipedia.org/wiki/Hiloni"
"Music","https://en.wikipedia.org/wiki/Jewish_music"
"Religious","https://en.wikipedia.org/wiki/Religious_Jewish_music"
